Title,Rating,ReviewCount,Url
"HOLI Freeze Dried Salmon Dog Food Topper - with Omega 3 & 6 - Single Ingredient, Human-Grade Wild Ca",4.3 ,206,https://amazon.com/sspa/click?ie=UTF8&spc=MToyMzAxNjk4MjcxODUxNDI5OjE2NjY3MTA1Nzk6c3BfYXRmX2Jyb3dzZToyMDAwOTIwODQ5MjE5OTg6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl&url=%2FHOLI-Caught-Salmon-Ingredient-Protein%2Fdp%2FB08PYM3S4S%2Fref%3Dsr_1_1_sspa%3Fqid%3D1666710579%26rnid%3D2975312011%26s%3Dpet-supplies%26sr%3D1-1-spons%26psc%3D1
"Blue Buffalo Life Protection Formula Natural Adult Dry Dog Food, Chicken and Brown Rice 30-lb",4.7 ,"21,746",https://amazon.com/Blue-Buffalo-Protection-Formula-Adult/dp/B0009YWKUA/ref=sr_1_2?qid=1666710579&rnid=2975312011&s=pet-supplies&sr=1-2
"Purina Pro Plan High Protein Dog Food With Probiotics for Dogs, Shredded Blend Chicken & Rice Formul",4.7 ,"16,618",https://amazon.com/Purina-Pro-Plan-Shredded-Chicken/dp/B001QCKS4O/ref=sr_1_3?qid=1666710579&rnid=2975312011&s=pet-supplies&sr=1-3
"Purina ONE Natural Dry Dog Food, SmartBlend Lamb & Rice Formula - 31.1 lb. Bag",4.7 ,"13,205",https://amazon.com/Purina-Smartblend-Natural-Formula-Adult/dp/B009IOCCD2/ref=sr_1_4?qid=1666710579&rnid=2975312011&s=pet-supplies&sr=1-4
"Royal Canin Small Breed Adult Dry Dog Food, 14 lb bag",4.8 ,"9,704",https://amazon.com/Royal-Canin-Health-Nutrition-Adult/dp/B007PPTJLE/ref=sr_1_5?qid=1666710579&rnid=2975312011&s=pet-supplies&sr=1-5
"Purina ONE Natural Dry Dog Food, SmartBlend Chicken & Rice Formula - 31.1 lb. Bag",4.7 ,"22,273",https://amazon.com/Purina-Smartblend-Natural-Chicken-Formula/dp/B008MKI7KU/ref=sr_1_6?qid=1666710579&rnid=2975312011&s=pet-supplies&sr=1-6
"Blue Buffalo Life Protection Formula Natural Adult Small Breed Dry Dog Food, Chicken and Brown Rice ",4.7 ,"12,656",https://amazon.com/Blue-Buffalo-Protection-Formula-Natural/dp/B003O7ZON4/ref=sr_1_7?qid=1666710579&rnid=2975312011&s=pet-supplies&sr=1-7
"Blue Buffalo Homestyle Recipe Natural Senior Wet Dog Food, Chicken 12.5-oz can (Pack of 12)",4.7 ,"6,434",https://amazon.com/Blue-Buffalo-Homestyle-Natural-Chicken/dp/B00N40ZEY0/ref=sr_1_8?qid=1666710579&rnid=2975312011&s=pet-supplies&sr=1-8
"Blue Buffalo Life Protection Formula Natural Adult Healthy Weight Dry Dog Food, Chicken and Brown Ri",4.7 ,"4,972",https://amazon.com/Blue-Buffalo-Protection-Formula-Healthy/dp/B0009YUI86/ref=sr_1_9?qid=1666710579&rnid=2975312011&s=pet-supplies&sr=1-9
"Purina Friskies Gravy Wet Cat Food Variety Pack, Tasty Treasures Prime Filets - (24) 5.5 oz. Cans",4.7 ,"2,376",https://amazon.com/Purina-Friskies-Variety-Treasures-Cheese/dp/B00JN9JEJC/ref=sr_1_10?qid=1666710579&rnid=2975312011&s=pet-supplies&sr=1-10
